rentalid,branchcity,date,rentedcars,availablecars,avgdailytemp,isweekend,marketingspend,customerrating,holidayflag,fuelprice,promotiontype
RID9419,NYC,2045-10-15,269.0,335.0,9.921122773029705,1.0,266.63319303544296,3.587951259693037,0.0,202.77247854254904,Seasonal
RID8768,LA,2044-01-03,266.0,322.0,21.306616518374334,1.0,246.5214405003888,3.849809073950197,0.0,199.53312718536097,
RID7656,newyork,2040-12-17,243.0,280.0,20.150778729075093,0.0,258.0834714712008,3.610204684243391,0.0,198.92652204682432,BOGO
RID416,denver,2021-02-20,241.0,340.0,25.27201119529054,1.0,218.9549449967831,3.5640051270419826,0.0,201.4557368606195,Seasonal
RID3710,Houston,2030-02-27,222.0,291.0,28.65046137886012,0.0,207.95765121085333,3.5101344844849045,0.0,196.00134000513933,BOGO
RID4782,Chcago,2033-02-03,270.0,367.0,27.14615419720418,0.0,218.77855004204812,3.575187160207721,0.0,202.9735219867628,
RID4094,Houston,2031-03-18,214.0,304.0,30.78318386287767,0.0,204.19166560504848,3.963466307552786,0.0,201.71471938380444,Discount
RID7551,newyork,2040-09-03,245.0,322.0,8.652557024727686,0.0,175.7539829369543,3.765622818522101,0.0,199.2748898491683,BOGO
RID7735,Houston,2041-03-06,260.0,294.0,28.75647797016955,0.0,239.95841163972003,3.4384883786982723,0.0,194.52303399171188,Discount
RID1393,Ney York,2023-10-25,215.0,274.0,11.825101960043282,0.0,223.8476705881609,3.533471906831045,0.0,197.3163207102872,Discount
RID4112,Houston,2031-04-05,278.0,348.0,32.21666667818057,1.0,205.72577342793255,3.495706767575752,0.0,202.717700463314,Discount
RID3879,Los Angeles,2030-08-15,275.0,302.0,16.576470152406124,0.0,218.87073065055364,3.529216602911193,0.0,212.00497837659165,Seasonal
RID107,New York,2020-04-17,251.0,284.0,28.182501947516617,0.0,226.49216757140445,3.5221503719730523,0.0,192.4634523070993,BOGO
RID7471,newyork,2040-06-15,320.0,381.0,24.153189967662943,0.0,278.26791745819264,3.538142660251478,0.0,191.2635488227166,
RID856,Chicago,2022-05-06,248.0,347.0,28.345622224541376,0.0,226.79841495609745,3.907466252232131,0.0,203.710519448774,Seasonal
RID8693,Los Angeles,2043-10-20,246.0,342.0,10.73660188073376,0.0,204.8685715808313,3.367297080248473,0.0,199.4797238408328,BOGO
RID3105,Chcago,2028-07-02,212.0,248.0,18.341693423850277,1.0,227.5302013767493,3.461090403679323,0.0,196.67828405160975,Seasonal
RID5159,New York,2034-02-15,240.0,278.0,26.674591971052667,0.0,200.8691955085825,3.494472545956768,0.0,194.43010448453117,Discount
RID6930,Huston,2038-12-22,261.0,338.0,19.978433276747797,0.0,234.508800625822,3.608697085396427,1.0,201.0886973091528,
RID850,Los Angeles,2022-04-30,223.0,286.0,26.53162630203115,1.0,195.07659309391403,3.252545740124522,0.0,205.8239838466086,Seasonal
RID7382,New York,2040-03-18,248.0,308.0,30.81127017318087,1.0,238.7577588473661,3.4802104733602275,0.0,211.1588534841389,Seasonal
RID7359,NYC,2040-02-24,341.0,431.0,28.900584993192314,0.0,259.14831954719693,4.026180195244544,0.0,210.03788886026857,
