rentalid,branchcity,date,rentedcars,availablecars,avgdailytemp,isweekend,marketingspend,customerrating,holidayflag,fuelprice,promotiontype
RID0,Chcago,2023-12-15,71.0,260.0,15.7,,$342.9,0.0,No,1.99,Discount
,Los Angeles,11/12/2023,58.0,237.0,15.5,No,281.41,1.2,,0.88,None
RID2,Los Angeles,32/13/2024,129.0,248.0,32.5,yes,132.01,2.7,,0.84,Discount
RID3,newyork,27/09/2023,14.0,298.0,33.0,yes,314.04,3.4,no,1.0 USD,None
RID4,Denver,2023-05-09,62.0,212.0,22.3,Y,461.73,2.8,No,1.6,Discouunt
RID5,New York,2023-02-04,100.0,54.0,29.7,yes,$242.39,6.0,no,1.56,loyalti
RID6,Chicago,19/08/2023,170.0,120.0,2.3,No,335.03,4.2,No,1.45,Loyalty
RID7,denver,08-13-2023,26.0,282.0,2.4,TRUE,361.6,2.0,No,1.47,None
RID8,Houston,09-25-2023,129.0,,22.4,yes,175.39,2.0,no,1.98,None
RID9,Los Angeles,05-03-2023,37.0,247.0,31.7,Y,278.69,4.4,,1.65,Loyalty
RID10,Houston,08/05/2023,103.0,266.0,19.4,Y,128.73,3.1,,1.96,None
RID11,New York,08-21-2023,47.0,103.0,23.9,TRUE,454.35,1.0,No,0.81,None
RID12,New York,07-27-2023,160.0,97.0,24.2,TRUE,$305.74,2.5,,1.97,Discount
RID13,newyork,2023-08-14,96.0,246.0,17.5,yes,69.62,2.9,no,1.7,loyalti
RID14,Los Angeles,2023-04-05,115.0,264.0,16.8,yes,429.9,1.3,,1.23,Loyalty
RID15,LA,2023-04-14,42.0,219.0,31.5,TRUE,280.1,4.2,Yes,1.75,
RID16,Ney York,2023-11-18,190.0,112.0,32.8,Y,67.48,3.1,no,1.13,None
RID17,Huston,16/12/2023,54.0,163.0,9.5,Y,$247.54,1.1,,1.64,
RID18,Ney York,2023-10-17,117.0,166.0,18.3,No,$378.52,3.3,,1.21 USD,Discount
RID19,Huston,2023-04-04,196.0,225.0,10.6,Yes,71.63,0.0,no,1.92,None
RID20,Denver,01-16-2023,1.0,268.0,25.5,Yes,415.04,3.5,Yes,1.05,Discount
RID21,NYC,2023-09-10,34.0,142.0,-4.0,Yes,103.17,3.5,No,1.76,Loyalty
RID22,Los Angeles,11/07/2023,98.0,280.0,34.0,,355.93,2.0,No,1.4,Discount
RID23,newyork,32/13/2024,146.0,255.0,16.7,No,91.27,3.2,Yes,1.74,Discount
RID24,New York,2023-08-11,162.0,195.0,26.0,,427.32,1.9,N,0.98,Discouunt
RID25,New York,31/12/2023,144.0,181.0,26.9,No,367.29,2.3,N,1.29,
RID26,Chcago,2023-12-27,130.0,240.0,-1.3,yes,410.95,0.0,,1.91,Loyalty
RID27,Huston,2023-02-16,13.0,103.0,35.6,yes,477.69,2.8,N,1.03,Loyalty
RID28,Denver,2023-08-08,191.0,250.0,31.6,Y,459.92,4.8,Yes,1.3,Discouunt
RID29,newyork,29/04/2023,117.0,226.0,28.7,No,$306.09,0.0,,0.89,
RID30,NYC,2023-09-16,52.0,194.0,4.2,Y,143.25,6.0,No,1.12 USD,Loyalty
RID31,newyork,2023-04-28,49.0,182.0,30.6,TRUE,239.24,3.6,No,1.54,
RID32,newyork,2023-12-01,190.0,274.0,12.8,,477.28,4.7,no,1.35,None
RID33,Houston,08-23-2023,114.0,129.0,1.2,,205.55,2.9,,1.03 USD,
RID34,New York,04-02-2023,21.0,282.0,35.2,No,$194.71,2.9,no,"0,99",Discount
RID35,Denver,08/01/2023,179.0,263.0,29.2,yes,78.05,1.5,no,1.7 USD,Loyalty
RID36,Ney York,2023-10-21,14.0,,9.5,Y,103.89,3.4,N,1.4 USD,Discouunt
RID37,Houston,2023-02-03,167.0,218.0,35.5,TRUE,274.21,6.0,N,1.07,Discouunt
RID38,Houston,14/11/2023,151.0,,26.4,Y,309.2,1.0,N,1.67,
RID39,Los Angeles,26/01/2023,43.0,117.0,17.8,Yes,324.78,3.3,,1.44 USD,Discouunt
RID40,Huston,10/01/2023,137.0,179.0,hot,Y,102.51,3.4,N,1.82,
RID41,NYC,2023-05-17,34.0,109.0,1.3,No,123.65,4.3,,1.23,None
RID42,Huston,2023-10-22,31.0,72.0,21.0,yes,$289.34,1.9,N,1.2,Discouunt
RID43,Denver,21/04/2023,154.0,146.0,30.0,TRUE,371.33,4.0,No,1.25,loyalti
RID44,Chicago,16/05/2023,46.0,204.0,26.2,Yes,205.56,4.6,No,1.35,Discount
RID45,Huston,07-29-2023,110.0,285.0,26.3,yes,118.64,3.4,N,1.92,Loyalty
RID46,Los Angeles,12-12-2023,181.0,231.0,21.6,Y,200.84,1.0,No,1.44,Discount
RID47,New York,12-13-2023,170.0,231.0,17.4,No,213.08,6.0,no,1.6,loyalti
RID48,Chicago,04-28-2023,62.0,50.0,12.9,No,207.22,3.5,N,1.5,Discount
RID49,Huston,2023-04-23,165.0,57.0,37.6,No,339.8,1.1,no,1.59 USD,Discouunt
RID50,LA,32/13/2024,53.0,100.0,5.7,Yes,375.02,4.3,,1.05,
,New York,09-20-2023,84.0,85.0,26.7,No,201.14,6.0,no,1.8,loyalti
RID52,Huston,22/02/2023,85.0,207.0,35.3,,60.11,3.2,Yes,0.97,None
RID53,Denver,04-19-2023,36.0,134.0,17.4,Yes,273.86,1.4,N,1.12,Discouunt
RID54,LA,05/11/2023,172.0,239.0,-2.9,yes,87.26,2.0,,1.23,loyalti
RID55,newyork,04-08-2023,151.0,82.0,19.3,,430.88,1.6,,1.21,
RID56,LA,04-14-2023,38.0,157.0,7.2,TRUE,91.21,1.5,,1.02,loyalti
RID57,Denver,05-29-2023,117.0,259.0,5.0,No,67.74,4.7,Yes,1.9 USD,loyalti
RID58,LA,05-17-2023,71.0,131.0,-2.5,yes,340.05,2.5,no,1.86,Discouunt
RID59,Ney York,02-08-2023,3.0,259.0,14.2,Yes,257.87,1.0,No,1.92 USD,Discount
,Ney York,01-29-2023,61.0,233.0,12.9,TRUE,285.13,1.0,Yes,1.82,loyalti
RID61,Chicago,03-14-2023,120.0,299.0,6.7,No,447.89,4.6,No,0.88,Discount
RID62,Denver,08-31-2023,73.0,218.0,30.1,yes,486.1,4.7,,1.28,None
RID63,LA,09/06/2023,12.0,122.0,33.7,Yes,172.83,0.0,N,1.19,
RID64,Chicago,04/05/2023,71.0,195.0,4.9,yes,433.04,2.9,no,1.22,Discouunt
RID65,Huston,09-19-2023,79.0,108.0,10.0,,97.63,1.8,no,"1,36",loyalti
RID66,Ney York,06-07-2023,81.0,270.0,3.7,,301.93,6.0,,1.78,Discouunt
,LA,21/08/2023,62.0,86.0,37.2,Yes,185.43,1.3,,1.55 USD,Loyalty
RID68,Chcago,07-11-2023,163.0,,-4.0,Yes,396.68,2.8,No,1.31,
RID69,Ney York,06/06/2023,31.0,71.0,34.1,No,379.07,4.4,,1.33,Discouunt
RID70,NYC,11/06/2023,63.0,67.0,16.3,,440.88,4.1,Yes,"1,55",Discount
RID71,Chicago,15/02/2023,198.0,277.0,5.1,No,196.67,2.7,N,1.36,loyalti
RID72,LA,06-15-2023,44.0,,16.6,No,494.0,3.0,,1.47 USD,
RID73,Chcago,2023-01-02,157.0,199.0,39.0,yes,$419.65,3.7,,1.88,
RID74,Chcago,10/02/2023,7.0,133.0,31.7,,296.42,2.8,Yes,1.68 USD,None
RID75,Ney York,2023-03-28,24.0,104.0,28.5,Yes,69.65,1.1,no,1.45,loyalti
RID76,newyork,2023-04-03,96.0,262.0,28.4,Y,216.97,1.2,,1.33,Discouunt
RID77,denver,09-19-2023,114.0,180.0,23.4,Yes,372.12,1.7,,1.02,
RID78,Denver,11-12-2023,13.0,179.0,24.3,yes,$436.09,3.4,Yes,1.08,loyalti
RID79,NYC,2023-03-21,9.0,182.0,22.8,TRUE,$125.43,3.9,No,1.81,Discouunt
RID80,Los Angeles,18/04/2023,147.0,86.0,-3.2,yes,470.24,6.0,No,0.98,Loyalty
,newyork,2023-08-05,184.0,220.0,-999,TRUE,188.57,1.8,N,0.91,
RID82,Chcago,2023-03-27,192.0,,6.0,yes,395.83,4.2,Yes,1.93,
RID83,Denver,08-08-2023,191.0,218.0,28.9,Yes,99.1,4.1,Yes,1.88,None
RID84,newyork,05-09-2023,53.0,114.0,12.8,yes,251.91,2.5,no,1.52,
RID85,Ney York,03/01/2023,71.0,166.0,-0.1,yes,160.73,2.6,,1.66,None
RID86,denver,12-02-2023,123.0,100.0,37.0,yes,268.64,2.1,N,1.45,None
RID87,New York,18/03/2023,88.0,157.0,18.6,,305.29,4.9,Yes,1.46 USD,None
RID88,Ney York,21/05/2023,117.0,75.0,22.5,yes,455.01,1.9,,1.79,None
RID89,Houston,2023-06-13,182.0,276.0,16.3,Y,190.52,1.8,No,1.56 USD,Loyalty
RID90,Chicago,11-16-2023,84.0,174.0,26.2,yes,96.85,3.3,,0.9,
RID91,Chcago,2023-03-11,195.0,237.0,5.5,yes,342.89,2.3,,1.99,Discount
RID92,Chicago,10-13-2023,149.0,126.0,29.0,,240.21,1.0,Yes,1.37,loyalti
RID93,Chcago,28/04/2023,103.0,79.0,23.1,No,107.47,0.0,Yes,1.16,loyalti
RID94,newyork,09-06-2023,74.0,203.0,18.2,No,496.47,1.8,no,1.78,
RID95,denver,14/05/2023,6.0,,1.9,yes,307.87,3.3,Yes,1.53,
RID96,Chicago,01-25-2023,135.0,128.0,19.7,TRUE,190.32,2.8,no,1.06,
RID97,New York,2023-01-05,9.0,227.0,26.3,TRUE,114.01,2.2,no,0.87,
RID98,newyork,12-25-2023,51.0,227.0,34.9,,215.49,4.3,Yes,0.81,
,Huston,03-20-2023,57.0,,5.9,TRUE,481.81,1.4,No,1.81 USD,
RID100,New York,15/07/2023,111.0,282.0,33.7,,109.92,3.6,,0.89,Discouunt
RID101,Huston,2023-08-20,33.0,226.0,-2.0,Yes,381.85,6.0,No,0.9,None
RID102,denver,32/13/2024,147.0,159.0,38.7,,209.68,3.2,N,1.31 USD,
RID103,Los Angeles,03/12/2023,103.0,,6.5,,481.92,4.6,No,1.37,None
RID104,Denver,2023-10-15,10.0,195.0,11.7,Y,325.82,2.0,N,1.86,Discount
RID105,denver,2023-04-29,11.0,190.0,39.0,No,$131.27,2.3,no,1.45,Loyalty
RID106,denver,10/10/2023,150.0,220.0,28.5,TRUE,$118.21,3.3,Yes,0.99,Loyalty
RID107,New York,01-03-2023,103.0,147.0,20.0,Yes,134.61,0.0,N,1.71 USD,Discouunt
RID108,LA,01-14-2023,180.0,292.0,16.2,Y,223.42,4.1,Yes,1.6 USD,
RID109,Chcago,21/07/2023,3.0,66.0,16.6,Y,310.99,3.2,no,1.77,loyalti
RID110,denver,30/07/2023,108.0,166.0,18.3,TRUE,197.69,1.4,,1.68,
RID111,Chcago,2023-07-17,46.0,127.0,28.3,No,304.5,1.7,Yes,1.5,Discouunt
RID112,denver,2023-02-04,68.0,98.0,37.2,,72.43,0.0,,0.87,Loyalty
RID113,denver,03-25-2023,35.0,155.0,6.8,yes,162.3,4.0,Yes,"0,88",loyalti
RID114,LA,07/09/2023,20.0,56.0,5.7,yes,107.59,2.6,N,1.55,Loyalty
RID115,Denver,2023-03-28,48.0,177.0,hot,Yes,374.0,1.4,Yes,1.98,
RID116,Chcago,2023-03-27,97.0,114.0,1.3,Yes,93.9,2.8,N,1.74,Loyalty
RID117,New York,31/08/2023,191.0,203.0,29.1,No,445.02,4.5,Yes,"1,98",
RID118,LA,11/09/2023,43.0,55.0,15.3,,248.48,1.7,No,1.71,loyalti
RID119,Huston,08-26-2023,41.0,179.0,33.6,Y,492.58,1.8,N,1.59,Discouunt
RID120,Ney York,2023-09-03,136.0,65.0,16.8,TRUE,195.36,4.9,Yes,1.62 USD,Discouunt
RID121,Houston,2023-06-03,132.0,58.0,19.3,Yes,262.03,2.8,,1.79,Loyalty
RID122,NYC,05/09/2023,160.0,90.0,3.6,yes,309.76,4.2,No,0.84,
RID123,Denver,09-05-2023,166.0,50.0,7.6,Yes,280.69,6.0,,1.16,
RID124,Chcago,08/02/2023,76.0,183.0,20.2,Yes,257.16,3.2,no,"0,93",None
RID125,Huston,06-03-2023,149.0,228.0,26.5,,329.61,3.5,no,1.34,Loyalty
RID126,New York,32/13/2024,160.0,252.0,5.2,Yes,79.02,4.5,N,1.99,
RID127,LA,07/06/2023,10.0,198.0,32.4,Yes,92.24,3.7,,1.49,
RID128,Chcago,17/03/2023,14.0,142.0,37.7,TRUE,337.82,1.5,Yes,1.96,
RID129,Ney York,2023-12-27,86.0,259.0,16.3,TRUE,174.57,2.3,No,1.53,None
RID130,Los Angeles,32/13/2024,189.0,146.0,31.1,yes,182.07,2.6,,0.94,Loyalty
RID131,Denver,2023-07-11,146.0,94.0,14.0,,371.31,2.2,No,1.79 USD,loyalti
RID132,Chicago,09/12/2023,174.0,131.0,24.9,Y,91.53,3.2,no,1.19,Loyalty
RID133,New York,21/07/2023,74.0,100.0,22.6,No,104.25,1.3,,0.81,None
RID134,LA,28/10/2023,100.0,272.0,31.8,yes,433.33,1.3,,1.51,loyalti
RID135,Houston,06-21-2023,62.0,209.0,22.0,yes,218.55,2.7,No,"1,22",loyalti
RID136,NYC,06/05/2023,112.0,211.0,21.1,,125.31,1.9,N,0.96 USD,loyalti
RID137,denver,29/12/2023,50.0,192.0,0.9,,218.66,2.8,,0.91,None
RID138,Chcago,12/08/2023,67.0,190.0,29.3,No,186.05,1.8,,1.12,
RID139,Denver,2023-04-02,124.0,188.0,30.2,Y,196.62,2.8,,1.82,Discouunt
RID140,New York,2023-04-01,10.0,295.0,30.6,No,174.1,4.8,No,1.98,Discouunt
RID141,New York,09-07-2023,74.0,192.0,36.3,yes,452.5,2.8,No,1.77,None
RID142,Los Angeles,2023-12-03,95.0,116.0,18.0,TRUE,58.6,3.8,no,0.96,Loyalty
RID143,Houston,2023-06-01,,68.0,-999,Yes,69.87,0.0,no,1.92,Loyalty
RID144,denver,02-04-2023,103.0,255.0,13.3,Yes,99.95,4.8,No,1.43,None
RID145,Houston,08-22-2023,101.0,62.0,4.5,yes,181.63,6.0,No,1.5,None
RID146,Huston,26/09/2023,52.0,80.0,17.6,,$331.15,3.7,No,1.79,Discouunt
RID147,Houston,2023-07-24,7.0,255.0,32.1,Y,231.1,1.8,No,1.51,Loyalty
RID148,Chicago,2023-11-21,63.0,114.0,20.4,,458.24,2.7,no,"1,61",Loyalty
RID149,Denver,2023-11-12,119.0,262.0,25.0,No,477.85,2.2,no,1.57 USD,
RID150,Denver,10-31-2023,40.0,255.0,-4.9,TRUE,298.43,3.9,no,1.68,loyalti
RID151,Chicago,2023-08-25,7.0,77.0,-2.7,,$310.63,1.2,,1.74,Loyalty
RID152,Chicago,2023-01-13,23.0,191.0,17.2,,$317.81,2.9,Yes,1.61,loyalti
RID153,Denver,2023-04-14,26.0,224.0,-999,Y,181.99,3.1,no,0.8,
RID154,Chicago,21/04/2023,159.0,266.0,4.3,TRUE,369.56,3.4,N,1.61,loyalti
RID155,Huston,11-08-2023,177.0,71.0,5.1,Y,330.09,3.3,,1.56,
RID156,Huston,02-18-2023,101.0,96.0,26.0,Y,273.79,1.2,no,1.71,None
RID157,NYC,2023-10-21,189.0,190.0,20.2,TRUE,453.95,1.5,N,1.27,loyalti
RID158,denver,2023-09-09,63.0,125.0,14.7,No,330.05,1.8,Yes,1.93,None
RID159,Chicago,2023-09-04,105.0,288.0,15.6,TRUE,393.61,3.4,N,1.25,Loyalty
RID160,Ney York,06-19-2023,65.0,71.0,-3.7,No,103.33,2.6,,0.85,Discouunt
RID161,NYC,32/13/2024,98.0,255.0,39.7,Y,237.02,4.6,,0.83,None
RID162,Los Angeles,07-12-2023,97.0,117.0,14.6,Yes,391.45,2.4,N,1.87,Loyalty
RID163,Chcago,2023-08-30,135.0,,23.6,TRUE,445.77,0.0,No,1.67,None
RID164,Denver,10-17-2023,180.0,118.0,19.6,Y,77.6,3.9,N,0.81,loyalti
RID165,Huston,2023-11-28,163.0,136.0,35.3,Y,172.15,2.3,No,1.06,loyalti
RID166,Los Angeles,2023-09-29,30.0,211.0,21.3,Y,169.4,2.2,N,0.92,None
RID167,denver,29/03/2023,14.0,50.0,0.6,No,$63.89,1.6,,0.99,
RID168,LA,19/04/2023,64.0,149.0,-999,TRUE,$427.55,3.8,No,1.08,Loyalty
RID169,Ney York,06-17-2023,192.0,281.0,31.0,Yes,109.27,1.6,Yes,1.85,Loyalty
RID170,Los Angeles,24/04/2023,82.0,121.0,19.7,yes,208.83,2.3,no,0.88,Discouunt
RID171,newyork,01-19-2023,122.0,245.0,30.3,TRUE,401.45,3.4,N,"1,93",Discouunt
RID172,Chicago,21/07/2023,5.0,218.0,26.7,TRUE,228.93,1.8,no,1.14,
RID173,Ney York,2023-10-22,19.0,157.0,-0.9,Yes,366.71,3.3,no,1.5,
,denver,2023-03-06,9.0,228.0,4.1,TRUE,356.05,1.1,No,1.34,
RID175,LA,2023-04-16,5.0,163.0,9.7,TRUE,413.24,4.3,no,2.0,Discouunt
RID176,Huston,31/07/2023,38.0,273.0,-999,,84.72,2.4,Yes,1.52,loyalti
RID177,newyork,04/12/2023,18.0,297.0,22.8,yes,$284.65,2.5,,1.45,
RID178,LA,32/13/2024,186.0,156.0,32.5,yes,114.97,2.7,N,1.52,
RID179,Houston,29/12/2023,67.0,52.0,24.5,,$122.21,1.7,Yes,1.78,Discount
RID180,LA,15/07/2023,26.0,70.0,-1.6,Y,147.23,4.1,,1.13,loyalti
RID181,Houston,06/01/2023,34.0,54.0,32.7,TRUE,247.64,1.6,no,1.63,Discount
RID182,Huston,2023-04-14,133.0,295.0,-4.1,,158.69,1.4,No,1.53,Discouunt
RID183,LA,2023-05-27,125.0,186.0,14.3,No,365.97,3.0,No,1.56,None
RID184,Huston,11-16-2023,38.0,120.0,29.4,,478.15,3.4,No,1.29,loyalti
RID185,Houston,32/13/2024,155.0,142.0,32.9,,406.2,1.7,,1.36 USD,Discount
RID186,Los Angeles,32/13/2024,127.0,71.0,3.2,yes,295.51,2.8,,"1,08",
RID187,Ney York,2023-01-03,63.0,181.0,27.5,Yes,53.76,0.0,,1.77,None
RID188,Chicago,2023-05-16,57.0,88.0,hot,Y,143.26,2.5,N,1.27,
RID189,Huston,10-04-2023,35.0,111.0,16.3,TRUE,141.01,2.0,No,1.89,Discouunt
RID190,Chicago,2023-01-02,114.0,273.0,19.7,TRUE,386.7,3.1,,1.13,
RID191,newyork,2023-07-26,22.0,299.0,11.6,,$166.81,4.5,,0.85,Loyalty
RID192,Chicago,07-06-2023,156.0,195.0,6.2,Y,92.71,2.3,N,1.83,
RID193,Chicago,10/09/2023,34.0,292.0,-4.4,,$57.08,4.7,Yes,"0,96",
RID194,Los Angeles,16/07/2023,137.0,78.0,14.9,Y,152.99,4.7,,1.43,loyalti
RID195,Huston,2023-09-03,165.0,188.0,11.3,yes,466.27,1.2,N,0.88,
RID196,Huston,12/07/2023,149.0,142.0,-999,Yes,127.15,2.8,Yes,1.57,Discouunt
RID197,Chcago,2023-08-18,181.0,217.0,26.6,,462.05,2.0,No,1.4,
RID198,Ney York,2023-08-03,72.0,283.0,22.1,,399.16,2.4,Yes,1.6,Loyalty
RID199,New York,04-08-2023,107.0,99.0,-0.5,No,487.88,4.9,N,1.76,Discount
RID200,LA,2023-03-01,27.0,273.0,2.7,TRUE,84.42,2.1,N,1.65,None
RID201,NYC,23/09/2023,151.0,239.0,14.9,Y,371.83,2.5,N,1.46,
RID202,newyork,15/11/2023,12.0,,18.5,,301.81,3.6,,0.95,None
RID203,Denver,12-31-2023,133.0,139.0,13.1,No,383.72,1.5,N,1.83,Discouunt
RID204,Ney York,2023-04-06,199.0,55.0,30.9,Yes,300.55,4.2,no,1.06,None
RID205,Denver,01-13-2023,169.0,254.0,6.9,TRUE,182.28,4.8,N,1.91,
,NYC,05/06/2023,15.0,194.0,37.1,No,264.06,6.0,no,1.58,Loyalty
RID207,Denver,2023-12-30,127.0,101.0,39.8,TRUE,146.98,2.9,no,1.03,Discount
RID208,newyork,11/02/2023,138.0,274.0,25.5,No,$224.3,1.1,N,1.73,Discouunt
RID209,NYC,04-25-2023,103.0,66.0,3.7,,319.83,2.4,No,1.35,Discount
RID210,Denver,2023-07-07,185.0,233.0,6.7,,470.97,2.5,no,0.91,None
RID211,LA,22/05/2023,,167.0,28.8,No,456.96,0.0,N,1.05,loyalti
RID212,New York,12-17-2023,139.0,232.0,14.8,No,321.71,4.3,,0.94,loyalti
RID213,Chcago,2023-10-29,120.0,156.0,28.0,,419.44,3.6,no,1.19 USD,loyalti
RID214,newyork,2023-03-02,121.0,105.0,21.3,Yes,402.58,3.5,N,1.85,
RID215,denver,08-08-2023,102.0,288.0,hot,TRUE,285.61,5.0,No,1.63,loyalti
RID216,Los Angeles,2023-04-09,7.0,295.0,-1.2,Yes,428.41,2.5,N,1.26,
RID217,denver,06/01/2023,57.0,75.0,9.0,Yes,328.66,4.7,No,1.09,Discouunt
RID218,Houston,2023-12-03,147.0,,9.4,,483.02,4.0,No,1.13,Loyalty
RID219,NYC,2023-07-27,189.0,145.0,20.1,No,379.17,1.9,No,1.9,loyalti
RID220,Ney York,18/08/2023,196.0,147.0,1.6,TRUE,430.1,2.5,N,1.81,
RID221,denver,2023-07-31,119.0,188.0,26.4,No,144.9,4.3,N,1.26,Discouunt
RID222,Houston,12/11/2023,13.0,282.0,-2.0,Yes,273.6,4.1,N,1.33,
RID223,LA,04/04/2023,168.0,97.0,hot,TRUE,425.73,1.5,Yes,1.91,
RID224,Huston,32/13/2024,,157.0,6.2,,$304.8,1.2,,1.7,Discouunt
RID225,New York,12/01/2023,42.0,169.0,-1.1,No,72.75,2.1,no,1.6,Loyalty
RID226,newyork,08-16-2023,179.0,113.0,36.0,,205.95,1.5,Yes,1.5,Discouunt
RID227,Chicago,09/08/2023,179.0,280.0,24.2,yes,113.5,6.0,no,1.59,Loyalty
RID228,Ney York,10-27-2023,41.0,117.0,30.7,Yes,439.75,2.9,Yes,1.31,
RID229,Los Angeles,32/13/2024,158.0,168.0,22.1,TRUE,261.93,1.8,,1.75,Discouunt
RID230,Chicago,10-23-2023,74.0,283.0,-999,TRUE,50.61,6.0,N,1.36,
RID231,Huston,11/02/2023,21.0,76.0,10.4,Yes,199.39,1.1,no,0.83,None
RID232,NYC,06-08-2023,193.0,205.0,-3.9,Yes,427.92,4.2,,1.82,Loyalty
RID233,LA,2023-12-22,95.0,67.0,6.4,No,465.93,0.0,No,1.62,
RID234,NYC,02-15-2023,43.0,93.0,-0.3,yes,400.92,1.0,N,1.11 USD,
RID235,Ney York,09-08-2023,132.0,202.0,25.0,yes,225.45,1.6,No,1.97,Discount
RID236,Chicago,20/01/2023,192.0,178.0,25.3,TRUE,109.94,1.5,No,1.64,Discount
RID237,Ney York,2023-04-12,170.0,135.0,17.1,TRUE,151.71,3.1,,1.13,Loyalty
RID238,Huston,09-25-2023,182.0,204.0,18.5,yes,319.37,1.6,Yes,0.96,
RID239,denver,20/11/2023,153.0,100.0,-4.1,TRUE,394.94,2.3,,1.71,Discouunt
RID240,LA,03/08/2023,27.0,202.0,10.3,yes,346.15,2.8,N,0.94,None
RID241,Chicago,2023-02-16,165.0,56.0,38.0,TRUE,320.81,2.6,No,1.27,Loyalty
RID242,Huston,08-06-2023,70.0,84.0,6.4,Y,355.28,1.6,N,1.47,Discount
RID243,denver,02-08-2023,175.0,207.0,30.6,No,188.14,3.7,Yes,1.19,
RID244,New York,19/01/2023,,219.0,-999,No,$492.13,4.3,Yes,1.33,
RID245,Houston,16/09/2023,165.0,236.0,14.9,No,$276.6,1.9,Yes,1.33 USD,Discount
RID246,newyork,17/12/2023,,226.0,3.3,Y,393.66,1.9,no,1.33,
RID247,NYC,02-04-2023,110.0,116.0,32.8,No,$77.92,3.3,Yes,"1,47",None
